,text,start,end
0,This,0.0,0.8
1,is,0.8,1.0
2,a,1.0,1.0
3,video,1.0,1.28
4,of,1.28,1.54
5,the,1.54,1.72
6,aftermath,1.72,2.1
7,of,2.1,2.42
8,a,2.42,2.48
9,strike,2.48,2.8
10,in,2.8,3.3
11,the,3.3,3.52
12,al,3.52,3.76
13,-Shaati,3.76,4.2
14,refugee,4.2,4.68
15,camp,4.68,5.0
16,in,5.0,5.08
17,"Gaza,",5.08,5.48
18,according,5.78,5.88
19,to,5.88,6.1
20,journalists,6.1,6.42
21,working,6.42,6.68
22,for,6.68,6.92
23,CNN.,6.92,7.14
24,The,7.3,7.34
25,attack,7.34,7.58
26,came,7.58,8.08
27,during,8.08,8.5
28,intense,8.5,8.82
29,Israeli,8.82,9.16
30,bombardment.,9.16,9.66
31,A,10.1,10.18
32,bombing,10.18,10.36
33,Sunday,10.36,10.8
34,"night,",10.8,11.3
35,the,11.36,11.56
36,IDF,11.56,11.78
37,has,11.78,12.0
38,not,12.0,12.28
39,commented,12.28,12.6
40,on,12.6,12.86
41,the,12.86,13.1
42,incident.,13.1,13.36
43,United,13.86,14.06
44,Nations,14.06,14.38
45,officials,14.38,14.78
46,today,14.78,15.06
47,said,15.06,15.28
48,70,15.28,15.68
49,percent,15.68,16.02
50,of,16.02,16.14
51,people,16.14,16.36
52,in,16.36,16.52
53,the,16.52,16.66
54,Gaza,16.66,16.88
55,Strip,16.88,17.14
56,are,17.14,17.38
57,"displaced,",17.38,17.78
58,many,18.06,18.22
59,living,18.22,18.64
60,"conditions,",18.64,19.02
61,living,19.02,19.42
62,in,19.42,19.72
63,"conditions,",19.72,20.34
64,a,20.9,20.9
65,statement,20.9,20.96
66,"called,",20.96,21.4
67,"quote,",21.42,21.72
68,inhumane.,21.72,22.28
69,The,23.02,23.16
70,Secretary,23.16,23.44
71,-General,23.44,23.74
72,said,23.74,23.92
73,the,23.92,24.1
74,Gaza,24.1,24.26
75,is,24.26,24.56
76,"becoming,",24.56,24.88
77,"quote,",24.88,25.54
78,graveyard,25.62,25.96
79,for,25.96,26.44
80,children.,26.44,26.94
81,Israel's,27.54,27.98
82,ambassador,27.98,28.3
83,to,28.3,28.54
84,the,28.54,28.66
85,UN,28.66,29.12
86,lashed,29.12,29.94
87,out,29.94,30.18
88,at,30.18,30.36
89,those,30.36,30.66
90,at,30.66,30.96
91,the,30.96,31.32
92,"comments,",31.32,31.56
93,called,31.7,31.84
94,for,31.84,32.04
95,the,32.04,32.44
96,Secretary,32.44,32.44
97,-General's,32.44,33.04
98,resignation.,33.04,33.4
99,Emily,34.28,34.4
100,Callie,34.4,34.84
101,Callahan,34.84,35.36
102,is,35.36,35.82
103,a,35.82,35.92
104,nurse,35.92,36.34
105,activity,36.34,37.04
106,manager,37.04,37.38
107,for,37.38,37.6
108,Dr.,37.6,37.82
109,Vell,37.86,38.08
110,Borders,38.08,38.82
111,MSF.,38.82,40.4
112,She,40.42,40.54
113,was,40.54,41.18
114,evacuated,41.18,41.64
115,last,41.64,42.1
116,Wednesday,42.1,42.44
117,in,42.44,42.64
118,a,42.64,42.74
119,ride,42.74,42.9
120,back,42.9,43.24
121,in,43.24,43.32
122,the,43.32,43.46
123,U,43.46,43.54
124,.S.,43.54,43.72
125,just,43.82,43.94
126,over,43.94,44.08
127,the,44.08,44.24
128,weekend.,44.24,44.8
129,First,46.94,47.12
130,of,47.12,47.24
